file,start_time,end_time,Eudynamys scolopaceus_Asian Koel
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,0.0,3.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,3.0,6.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,6.0,9.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,9.0,12.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,12.0,15.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,15.0,18.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,18.0,21.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,21.0,24.0,0
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,24.0,27.0,1
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,27.0,30.0,0
/Users/ritwik/Desktop/BFG 2024/koel/\tmp/AsianKoel_1.mp3,30.0,33.0,1
